#,Title,Artist,Album,Duration
1,It Ain't The Meat,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:37
2,Shake That Thing,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:16
3,Salty Dog,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:36
4,Wasn't That Good,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:29
5,"Ride, Daddy, Ride",VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:10
6,The Walkin' Blues,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:56
7,"Roll, Roll, Pretty Baby",VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:50
8,I Knew He Would,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:47
9,Your Love Keeps A Working On Me,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:59
10,Think,VARIOUS ARTISTS,Risque Blues - It Ain't The Meat,02:36
11,Sick And Tired (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:32
12,The Monkey (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:30
13,Blue Monday (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:43
14,Four Winds (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:23
15,I'm Gonna Be A Wheel Someday (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:28
16,Country Boy Goes Home (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:40
17,I Hear You Knocking (Remastered 2002),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,01:53
18,Shrimp And Gumbo (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:07
19,Toy Bell (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:23
20,Witchcraft (2002 Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:36
21,I'm Gone (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:18
22,Would You (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:16
23,3 X 7 = 21 (Remastered),Dave Bartholomew,The Big Beat Of Dave Bartholomew: 20 Milestone Dave Bartholomew Productions 1949-1960,02:36
